Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sun Nov 13 2016,8:00 pm,Phoenix Suns,,Golden State Warriors,,,,
Sun Nov 13 2016,7:00 pm,Los Angeles Lakers,,Minnesota Timberwolves,,,,
Sun Nov 13 2016,7:00 pm,Orlando Magic,,Oklahoma City Thunder,,,,
Sun Nov 13 2016,9:00 pm,Denver Nuggets,,Portland Trail Blazers,,,,
Mon Nov 14 2016,7:30 pm,Oklahoma City Thunder,,Detroit Pistons,,,,
Mon Nov 14 2016,8:00 pm,Philadelphia 76ers,,Houston Rockets,,,,
Mon Nov 14 2016,7:00 pm,Orlando Magic,,Indiana Pacers,,,,
Mon Nov 14 2016,10:30 pm,Brooklyn Nets,,Los Angeles Clippers,,,,
Mon Nov 14 2016,8:00 pm,Boston Celtics,,New Orleans Pelicans,,,,
Mon Nov 14 2016,7:30 pm,Dallas Mavericks,,New York Knicks,,,,
Mon Nov 14 2016,8:30 pm,Miami Heat,,San Antonio Spurs,,,,
Mon Nov 14 2016,9:00 pm,Memphis Grizzlies,,Utah Jazz,,,,
Tue Nov 15 2016,7:00 pm,Toronto Raptors,,Cleveland Cavaliers,,,,
Tue Nov 15 2016,10:30 pm,Brooklyn Nets,,Los Angeles Lakers,,,,
Tue Nov 15 2016,7:30 pm,Atlanta Hawks,,Miami Heat,,,,
Tue Nov 15 2016,8:00 pm,Charlotte Hornets,,Minnesota Timberwolves,,,,
Tue Nov 15 2016,10:00 pm,Chicago Bulls,,Portland Trail Blazers,,,,
Wed Nov 16 2016,7:30 pm,Milwaukee Bucks,,Atlanta Hawks,,,,
Wed Nov 16 2016,7:30 pm,Dallas Mavericks,,Boston Celtics,,,,
Wed Nov 16 2016,9:00 pm,Phoenix Suns,,Denver Nuggets,,,,
Wed Nov 16 2016,7:00 pm,Cleveland Cavaliers,,Indiana Pacers,,,,
Wed Nov 16 2016,10:30 pm,Memphis Grizzlies,,Los Angeles Clippers,,,,
Wed Nov 16 2016,7:30 pm,Detroit Pistons,,New York Knicks,,,,
Wed Nov 16 2016,8:00 pm,Houston Rockets,,Oklahoma City Thunder,,,,
Wed Nov 16 2016,7:00 pm,New Orleans Pelicans,,Orlando Magic,,,,
Wed Nov 16 2016,7:00 pm,Washington Wizards,,Philadelphia 76ers,,,,
Wed Nov 16 2016,10:30 pm,San Antonio Spurs,,Sacramento Kings,,,,
Wed Nov 16 2016,8:00 pm,Golden State Warriors,,Toronto Raptors,,,,
Thu Nov 17 2016,8:00 pm,Portland Trail Blazers,,Houston Rockets,,,,
Thu Nov 17 2016,7:30 pm,Milwaukee Bucks,,Miami Heat,,,,
Thu Nov 17 2016,8:00 pm,Philadelphia 76ers,,Minnesota Timberwolves,,,,
Thu Nov 17 2016,10:30 pm,Chicago Bulls,,Utah Jazz,,,,
Thu Nov 17 2016,7:00 pm,New York Knicks,,Washington Wizards,,,,
Fri Nov 18 2016,8:00 pm,Golden State Warriors,,Boston Celtics,,,,
Fri Nov 18 2016,7:00 pm,Atlanta Hawks,,Charlotte Hornets,,,,
Fri Nov 18 2016,7:30 pm,Detroit Pistons,,Cleveland Cavaliers,,,,
Fri Nov 18 2016,8:30 pm,Memphis Grizzlies,,Dallas Mavericks,,,,
Fri Nov 18 2016,9:00 pm,Toronto Raptors,,Denver Nuggets,,,,
Fri Nov 18 2016,7:00 pm,Phoenix Suns,,Indiana Pacers,,,,
Fri Nov 18 2016,10:30 pm,San Antonio Spurs,,Los Angeles Lakers,,,,
Fri Nov 18 2016,8:00 pm,Portland Trail Blazers,,New Orleans Pelicans,,,,
Fri Nov 18 2016,8:00 pm,Brooklyn Nets,,Oklahoma City Thunder,,,,
Fri Nov 18 2016,10:30 pm,Los Angeles Clippers,,Sacramento Kings,,,,
Sat Nov 19 2016,7:00 pm,Boston Celtics,,Detroit Pistons,,,,
